"Atlanta Hawks",1949,,2751,2815,11,0,1
"Atlanta Hawks",1968,2019,2052,2094,5,0,0
"St. Louis Hawks",1955,1967,555,453,6,0,1
"Milwaukee Hawks",1951,1954,90,190,0,0,0
"Tri-Cities Blackhawks",1949,1950,54,78,0,0,0
"Boston Celtics",1946,,3388,2347,32,9,17
"Brooklyn Nets",1976,,1455,2035,4,2,0
"Brooklyn Nets",2012,2019,247,339,0,0,0
"New Jersey Nets",1977,2011,1186,1636,4,2,0
"New York Nets",1976,1976,22,60,0,0,0
"Charlotte Hornets",1988,,1033,1310,0,0,0
"Charlotte Hornets",1988,2019,740,799,0,0,0
"Charlotte Bobcats",2004,2013,293,511,0,0,0
"Chicago Bulls",1966,,2209,2101,9,6,6
"Cleveland Cavaliers",1970,,1852,2129,7,5,1
"Dallas Mavericks",1980,,1579,1583,3,2,1
"Denver Nuggets",1976,,1711,1778,9,0,0
"Detroit Pistons",1948,,2738,2891,12,5,3
"Detroit Pistons",1957,2019,2424,2584,9,5,3
"Ft. Wayne Zollner Pistons",1948,1956,314,307,3,0,0
"Golden State Warriors",1946,,2774,2959,12,6,6
"Golden State Warriors",1971,2019,1886,2015,7,6,4
"San Francisco Warriors",1962,1970,330,399,2,0,0
"Philadelphia Warriors",1946,1961,558,545,3,0,2
"Houston Rockets",1967,,2235,1994,8,4,2
"Houston Rockets",1971,2019,2116,1785,8,4,2
"San Diego Rockets",1967,1970,119,209,0,0,0
"Indiana Pacers",1976,,1751,1739,6,1,0
"LA Clippers",1970,,1618,2365,2,0,0
"LA Clippers",2015,2019,202,139,0,0,0
"Los Angeles Clippers",1984,2014,971,1523,2,0,0
"San Diego Clippers",1978,1983,186,306,0,0,0
"Buffalo Braves",1970,1977,259,397,0,0,0
"Los Angeles Lakers",1948,,3345,2285,35,18,16
"Los Angeles Lakers",1960,2019,2886,1902,30,18,11
"Minneapolis Lakers",1948,1959,459,383,5,0,5
"Memphis Grizzlies",1995,,797,1135,0,0,0
"Memphis Grizzlies",2001,2019,696,776,0,0,0
"Vancouver Grizzlies",1995,2000,101,359,0,0,0
"Miami Heat",1988,,1303,1203,14,5,3
"Milwaukee Bucks",1968,,2138,2008,15,2,1
"Minnesota Timberwolves",1989,,968,1457,1,0,0
"New Orleans Pelicans",2002,,646,744,1,0,0
"New Orleans Pelicans",2013,2019,227,277,0,0,0
"New Orleans Hornets",2002,2012,342,380,1,0,0
"New Orleans/Oklahoma City Hornets",2005,2006,77,87,0,0,0
"New York Knicks",1946,,2781,2954,9,4,2
"Oklahoma City Thunder",1967,,2288,1940,11,4,1
"Oklahoma City Thunder",2008,2019,543,355,5,1,0
"Seattle SuperSonics",1967,2007,1745,1585,6,3,1
"Orlando Magic",1989,,1163,1261,7,2,0
"Philadelphia 76ers",1949,,2865,2698,12,5,3
"Philadelphia 76ers",1963,2019,2288,2261,9,5,2
"Syracuse Nationals",1949,1962,577,437,3,0,1
"Phoenix Suns",1968,,2193,1952,6,2,0
"Portland Trail Blazers",1970,,2139,1844,6,3,1
"Sacramento Kings",1948,,2566,3061,6,0,1
"Sacramento Kings",1985,2019,1160,1591,2,0,0
"Kansas City Kings",1975,1984,381,439,1,0,0
"Kansas City-Omaha Kings",1972,1974,113,133,0,0,0
"Cincinnati Royals",1957,1971,555,634,0,0,0
"Rochester Royals",1948,1956,357,264,3,0,1
"San Antonio Spurs",1976,,2167,1324,22,6,5
"Toronto Raptors",1995,,910,1022,6,1,1
"Utah Jazz",1974,,1972,1682,10,2,0
"Utah Jazz",1979,2019,1811,1433,10,2,0
"New Orleans Jazz",1974,1978,161,249,0,0,0
"Washington Wizards",1961,,2131,2576,8,4,1
"Washington Wizards",1997,2019,753,1013,1,0,0
"Washington Bullets",1974,1996,887,999,2,3,1
"Capital Bullets",1973,1973,47,35,1,0,0
"Baltimore Bullets",1963,1972,401,412,4,1,0
"Chicago Zephyrs",1962,1962,25,55,0,0,0
"Chicago Packers",1961,1961,18,62,0,0,0
"Anderson Packers",1949,1949,37,27,0,0,0
"Baltimore Bullets",1947,1953,158,292,0,0,1
"Chicago Stags",1946,1949,147,93,1,0,0
"Cleveland Rebels",1946,1946,30,30,0,0,0
"Denver Nuggets",1949,1949,11,51,0,0,0
"Detroit Falcons",1946,1946,20,40,0,0,0
"Indianapolis Jets",1948,1948,18,42,0,0,0
"Indianapolis Olympians",1949,1952,132,137,1,0,0
"Pittsburgh Ironmen",1946,1946,15,45,0,0,0
"Providence Steamrollers",1946,1948,46,122,0,0,0
"Sheboygan Redskins",1949,1949,22,40,0,0,0
"St. Louis Bombers",1946,1949,122,115,1,0,0
"Toronto Huskies",1946,1946,22,38,0,0,0
"Washington Capitols",1946,1950,157,115,2,0,0
"Waterloo Hawks",1949,1949,19,43,0,0,0
